time, bids, asks, maxclose, minclose, uppertarget, lowertarget
1067299200, 1.1677, 1.1682, 1.1677, 1.1467, -0.04281921726470369, -1.841226342382449
1067385600, 1.1667, 1.1672, 1.1667, 1.1439, -0.04285591840232664, -1.99708579754865
1067472000, 1.1626, 1.1631, 1.1626, 1.1411, -0.04300705315671297, -1.89231033889558
1067558400, 1.1593, 1.1598, 1.1593, 1.1411, -0.04312947468299361, -1.613042353144133
1067817600, 1.1467, 1.1472, 1.1525, 1.1411, 0.4621958663992397, -0.5319612801953426
1067904000, 1.1494, 1.1499, 1.1525, 1.1411, 0.226204976509497, -0.7656168435705516
1067990400, 1.1439, 1.1444, 1.163, 1.1411, 1.626016260162617, -0.2884867558352879
1068076800, 1.1411, 1.1416, 1.1734, 1.1411, 2.78678468144773, -0.0438173692051481
1068163200, 1.1525, 1.153, 1.1778, 1.147, 2.151843817787412, -0.5206073752711501
1068422400, 1.147, 1.1475, 1.1778, 1.147, 2.641673931996512, -0.04359197907584524
1068508800, 1.1514, 1.1519, 1.1967, 1.1514, 3.890915407330222, -0.04342539517109128
1068595200, 1.163, 1.1635, 1.1967, 1.163, 2.854686156491841, -0.04299226139294454
1068681600, 1.1734, 1.1739, 1.1967, 1.1734, 1.943071416396809, -0.04261121527185486
1068768000, 1.1778, 1.1783, 1.1967, 1.1748, 1.562234674817473, -0.2971642044489588
1069027200, 1.1748, 1.1753, 1.1967, 1.1748, 1.821586653047334, -0.04256043581885809
1069113600, 1.1967, 1.1972, 1.1967, 1.1774, -0.04178156597308806, -1.654550012534473
1069200000, 1.1891, 1.1896, 1.1929, 1.1774, 0.2775208140610613, -1.02598603986208
1069286400, 1.191, 1.1915, 1.1929, 1.1774, 0.1175482787573525, -1.183879093198992
1069372800, 1.1917, 1.1922, 1.1996, 1.1774, 0.6209616514223441, -1.241923302844669
1069632000, 1.1774, 1.1779, 1.1996, 1.1774, 1.843043995243762, -0.0424664515033077
1069718400, 1.1795, 1.18, 1.2104, 1.1795, 2.57736328952946, -0.04239084357778253
1069804800, 1.1929, 1.1934, 1.2117, 1.1915, 1.534076620001675, -0.1592757146449839
1069891200, 1.1915, 1.192, 1.2117, 1.1915, 1.653378094838443, -0.04196391103650398
1069977600, 1.1996, 1.2001, 1.2169, 1.1969, 1.400466822274104, -0.2667555851950542
1070236800, 1.1969, 1.1974, 1.2229, 1.1969, 2.130503801487182, -0.04177458434288119
1070323200, 1.2104, 1.2109, 1.2248, 1.2084, 1.148380700594865, -0.2065432914738885
1070409600, 1.2117, 1.2122, 1.2248, 1.2084, 1.039861351819771, -0.3136089791202464
1070496000, 1.2084, 1.2089, 1.2248, 1.2084, 1.315789473684231, -0.04137702747434169
1070582400, 1.2169, 1.2174, 1.2276, 1.2169, 0.8381954145780249, -0.04108801051852616
1070841600, 1.2229, 1.2234, 1.2314, 1.2212, 0.6541826805135339, -0.17990023714122
1070928000, 1.2248, 1.2253, 1.2334, 1.2212, 0.6613324624428475, -0.3347485303723051
