time, signal, bids, asks, maxclose120h, target
2012.11.15 00:00:00, 0, 1.27693, 1.27723, 1.28024, 0.2357216135575135
2012.11.14 00:00:00, 0, 1.27481, 1.27511, 1.28024, 0.4024129085903059
2012.11.13 00:00:00, 0, 1.27194, 1.27224, 1.27693, 0.3687280846580879
2012.11.11 00:00:00, 0, 1.2727, 1.2729, 1.27693, 0.3166496424923548
2012.11.09 00:00:00, 0, 1.27106, 1.27148, 1.27481, 0.2619860588799768
2012.11.08 00:00:00, 0, 1.27762, 1.27804, 1.2727, -0.4179646530267311
2012.11.07 00:00:00, 0, 1.2745, 1.2749, 1.27762, 0.213417026284822
2012.11.06 00:00:00, 0, 1.28586, 1.28616, 1.27762, -0.6641469522343018
2012.11.05 00:00:00, 0, 1.27932, 1.27973, 1.28586, 0.4791608041772167
2012.11.04 00:00:00, 0, 1.28253, 1.28283, 1.28586, 0.2362517835840166
2012.11.02 00:00:00, 0, 1.28333, 1.2839, 1.28586, 0.152727669422515
2012.11.01 00:00:00, 0, 1.29327, 1.29363, 1.28586, -0.6008026166229661
2012.10.31 00:00:00, 0, 1.29656, 1.29686, 1.29327, -0.276886530511506
2012.10.30 00:00:00, 0, 1.29608, 1.29642, 1.29656, 0.01080180235788138
2012.10.29 00:00:00, 0, 1.29095, 1.29115, 1.29656, 0.4190712266160513
2012.10.28 00:00:00, 0, 1.29265, 1.29282, 1.29656, 0.2893281243956101
2012.10.26 00:00:00, 0, 1.29385, 1.29455, 1.29656, 0.155350311087071
2012.10.25 00:00:00, 0, 1.29508, 1.29554, 1.29608, 0.04169626586774446
2012.10.24 00:00:00, 0, 1.29815, 1.29852, 1.29508, -0.2649924893117212
2012.10.23 00:00:00, 0, 1.2983, 1.2986, 1.29815, -0.0346607101594269
2012.10.22 00:00:00, 0, 1.30528, 1.30558, 1.2983, -0.5577347389065911
2012.10.21 00:00:00, 0, 1.30477, 1.30509, 1.30528, 0.01456195344772737
2012.10.19 00:00:00, 0, 1.3023, 1.3026, 1.30528, 0.2057897565845055
2012.10.18 00:00:00, 0, 1.30608, 1.30638, 1.30528, -0.08422148719834166
2012.10.17 00:00:00, 0, 1.31068, 1.31098, 1.30608, -0.3738517410809583
2012.10.16 00:00:00, 0, 1.30927, 1.30957, 1.31068, 0.08478006828233797
2012.10.08 00:00:00, 0, 1.29765, 1.29795, 1.29503, -0.22502215543481
2012.10.07 00:00:00, 0, 1.29867, 1.29913, 1.29765, -0.113962746502185
2012.10.05 00:00:00, 0, 1.30391, 1.30446, 1.29867, -0.4440490524652916
2012.10.04 00:00:00, 0, 1.3012, 1.3015, 1.30391, 0.1852136489394423
2012.09.27 00:00:00, 0, 1.29345, 1.29375, 1.29, -0.2899223008233732
2012.09.26 00:00:00, 0, 1.28775, 1.28809, 1.29345, 0.4162298582799481
2012.09.25 00:00:00, 0, 1.29008, 1.29043, 1.29345, 0.2340940096738032
2012.09.24 00:00:00, 0, 1.29447, 1.29478, 1.29345, -0.1027447526787066
2012.09.23 00:00:00, 0, 1.29365, 1.29396, 1.29447, 0.03942333706953275
2012.09.21 00:00:00, 0, 1.29788, 1.29818, 1.29447, -0.2858507720282214
2012.09.20 00:00:00, 0, 1.29781, 1.29811, 1.29788, -0.01772216272028837
2012.09.19 00:00:00, 0, 1.30223, 1.30257, 1.29788, -0.3601514325426448
2012.09.18 00:00:00, 0, 1.30459, 1.30489, 1.30223, -0.2038954767398268
2012.09.17 00:00:00, 0, 1.30979, 1.31018, 1.30459, -0.4267859733239497
2012.09.16 00:00:00, 0, 1.31253, 1.31283, 1.30979, -0.2316137535903889
2012.09.14 00:00:00, 0, 1.31286, 1.31326, 1.31253, -0.05560379629207374
2012.09.02 00:00:00, 0, 1.25774, 1.25804, 1.26301, 0.3951532113155277
2012.08.31 00:00:00, 0, 1.25783, 1.25823, 1.2617, 0.2758719381792519
2012.08.30 00:00:00, 1, 1.25156, 1.25186, 1.2617, 0.78621879893893
2012.08.29 00:00:00, 1, 1.25369, 1.25399, 1.2617, 0.6149845655624681
2012.08.28 00:00:00, 0, 1.25548, 1.25578, 1.25783, 0.1632841622327801
2012.08.27 00:00:00, 1, 1.24791, 1.24821, 1.25783, 0.770888926284745
2012.08.26 00:00:00, 0, 1.25069, 1.25099, 1.25548, 0.3590018309892845
2012.08.24 00:00:00, 0, 1.25109, 1.2515, 1.25548, 0.3181225970953227
2012.08.23 00:00:00, 0, 1.25597, 1.25637, 1.25548, -0.07086156516477761
2012.08.22 00:00:00, 0, 1.25422, 1.25458, 1.25597, 0.1108258519239051
2012.08.21 00:00:00, 1, 1.24661, 1.24703, 1.25597, 0.7171448969605528
2012.08.20 00:00:00, 1, 1.2355, 1.23594, 1.25597, 1.621205989477944
2012.08.19 00:00:00, 1, 1.23325, 1.23349, 1.25597, 1.822825866612613
2012.08.17 00:00:00, 1, 1.23327, 1.23367, 1.25422, 1.666301783064541
2012.08.16 00:00:00, 1, 1.23455, 1.23485, 1.24661, 0.9525738123202781
2012.08.15 00:00:00, 1, 1.22885, 1.22926, 1.2355, 0.5077918378972228
2012.08.14 00:00:00, 0, 1.23225, 1.23255, 1.23455, 0.1623047271251777
2012.08.13 00:00:00, 0, 1.23447, 1.23477, 1.23455, -0.01782141323806063
2012.08.12 00:00:00, 0, 1.22946, 1.22969, 1.23455, 0.395295495583434
2012.08.10 00:00:00, 0, 1.22884, 1.22923, 1.23447, 0.4264184108590324
2012.08.09 00:00:00, 0, 1.23003, 1.23033, 1.23447, 0.3365771566547184
2012.08.08 00:00:00, 0, 1.23815, 1.23845, 1.23447, -0.3214473205992888
2012.08.07 00:00:00, 0, 1.2396, 1.24011, 1.23815, -0.1581155211358472
2012.08.06 00:00:00, 0, 1.23994, 1.2403, 1.2396, -0.05645434456505338
2012.08.05 00:00:00, 0, 1.23944, 1.23984, 1.23994, 0.008068159814108708
2012.08.03 00:00:00, 0, 1.23848, 1.23908, 1.23994, 0.06943995865900805
2012.08.02 00:00:00, 1, 1.21738, 1.21783, 1.23994, 1.816195436100484
2012.08.01 00:00:00, 1, 1.22448, 1.22492, 1.23994, 1.226643146478508
2012.07.31 00:00:00, 1, 1.22953, 1.22983, 1.23944, 0.7815994729693557
2012.07.30 00:00:00, 1, 1.22826, 1.22868, 1.23848, 0.7978766710631324
2012.07.29 00:00:00, 0, 1.22875, 1.22898, 1.22953, 0.04476093591048223
2012.07.27 00:00:00, 0, 1.23211, 1.23261, 1.22953, -0.249977680564233
2012.07.26 00:00:00, 0, 1.22871, 1.22912, 1.23211, 0.2433446460108608
2012.07.25 00:00:00, 1, 1.21371, 1.21392, 1.23211, 1.498710565126754
2012.07.24 00:00:00, 1, 1.2068, 1.2072, 1.23211, 2.064136559496187
2012.07.23 00:00:00, 1, 1.21222, 1.21261, 1.23211, 1.608618897559855
2012.07.22 00:00:00, 1, 1.21116, 1.2114, 1.22871, 1.429208362231244
2012.07.20 00:00:00, 0, 1.21551, 1.21608, 1.21371, -0.1949798849865475
2012.07.19 00:00:00, 0, 1.22642, 1.22677, 1.21551, -0.9181194044454629
2012.07.18 00:00:00, 0, 1.22945, 1.22983, 1.22642, -0.2773597950302911
2012.07.17 00:00:00, 0, 1.22927, 1.22964, 1.22945, -0.01545632773923829
2012.07.16 00:00:00, 0, 1.22933, 1.22965, 1.22945, -0.01626902459064694
2012.07.15 00:00:00, 0, 1.22425, 1.22457, 1.22945, 0.3986113947314497
