Open0,High0,Low0,Close0,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4,Open5,High5,Low5,Close5
0,0.00015,-0.00051,-0.00035,0,0.00023,-0.00016,0.0001,-0.00016,2e-005,-0.00032,-0.0001,1e-005,0.00017,-0.00026,-0.00015,-5e-005,6.999999999999999e-005,-0.00025,2e-005,4e-005,0.00019,-0.00015,-6e-005
0,0.00023,-0.00016,0.0001,-0.00016,2e-005,-0.00032,-0.0001,1e-005,0.00017,-0.00026,-0.00015,-5e-005,6.999999999999999e-005,-0.00025,2e-005,4e-005,0.00019,-0.00015,-6e-005,-0.00029,0.00017,-0.00031,3e-005
0,0.00018,-0.00016,6e-005,0.00017,0.00033,-0.0001,1e-005,0.00011,0.00023,-9.000000000000001e-005,0.00018,0.0002,0.00035,1e-005,0.0001,-0.00013,0.00033,-0.00015,0.00019,-0.00053,-0.00011,-0.0006800000000000001,-0.00015
0,0.00016,-0.00027,-0.00016,-6e-005,6e-005,-0.00026,1e-005,3e-005,0.00018,-0.00016,-6.999999999999999e-005,-0.0003,0.00016,-0.00032,2e-005,-0.0007,-0.00028,-0.00085,-0.00032,-0.0006,-0.00053,-0.00169,-0.0007200000000000001
0,0.00012,-0.0002,6.999999999999999e-005,9.000000000000001e-005,0.00024,-0.0001,-1e-005,-0.00024,0.00022,-0.00026,8.000000000000001e-005,-0.0006400000000000001,-0.00022,-0.00079,-0.00026,-0.00054,-0.00047,-0.00163,-0.00066,-0.00096,9.000000000000001e-005,-0.00126,-0.00053
0,0.00015,-0.00019,-0.0001,-0.00033,0.00013,-0.00035,-1e-005,-0.00073,-0.00031,-0.00088,-0.00035,-0.00063,-0.00056,-0.00172,-0.00075,-0.00105,0,-0.00135,-0.00062,-0.00157,-0.00073,-0.00222,-0.00111
0,0.00046,-2e-005,0.00032,-0.0004,2e-005,-0.00055,-2e-005,-0.0003,-0.00023,-0.00139,-0.00042,-0.0007200000000000001,0.00033,-0.00102,-0.00029,-0.00124,-0.0004,-0.00189,-0.00078,-0.00027,-0.0002,-0.0021,-0.00124
0,0.00042,-0.00015,0.00038,0.0001,0.00017,-0.00099,-2e-005,-0.00032,0.00073,-0.00062,0.00011,-0.00084,0,-0.00149,-0.00038,0.00013,0.0002,-0.0017,-0.00084,0.00013,0.00084,-0.00074,0.00015
0,6.999999999999999e-005,-0.00109,-0.00012,-0.00042,0.00063,-0.0007200000000000001,1e-005,-0.00094,-0.0001,-0.00159,-0.00048,3e-005,0.0001,-0.0018,-0.00094,3e-005,0.00074,-0.00084,5e-005,0.0006800000000000001,0.00113,1e-005,2e-005
0,0.00105,-0.0003,0.00043,-0.00052,0.00032,-0.00117,-6e-005,0.00045,0.00052,-0.00138,-0.00052,0.00045,0.00116,-0.00042,0.00047,0.0011,0.00155,0.00043,0.00044,0.00153,0.00174,-0.00026,0.00112
0,0.00084,-0.00065,0.00046,0.0009700000000000001,0.00104,-0.00086,0,0.0009700000000000001,0.00168,0.0001,0.00099,0.00162,0.00207,0.00095,0.00096,0.00205,0.00226,0.00026,0.00164,0.0043,0.00443,0.00146,0.00201
0,6.999999999999999e-005,-0.00183,-0.0009700000000000001,0,0.00071,-0.00087,2e-005,0.00065,0.0011,-2e-005,-1e-005,0.00108,0.00129,-0.00071,0.00067,0.00333,0.00346,0.00049,0.00104,0.00343,0.00401,0.00266,0.00334
0,0.00071,-0.00087,2e-005,0.00065,0.0011,-2e-005,-1e-005,0.00108,0.00129,-0.00071,0.00067,0.00333,0.00346,0.00049,0.00104,0.00343,0.00401,0.00266,0.00334,0.00355,0.00364,0.00203,0.00343
